,Country Name,Country Code,Year,CO2 Emissions (kt)
7981,Africa Eastern and Southern,AFE,1990,304614.720181
7982,Afghanistan,AFG,1990,2046.87
7983,Africa Western and Central,AFW,1990,97190.345
7984,Angola,AGO,1990,6564.2
7985,Albania,ALB,1990,6060.5
7986,Andorra,AND,1990,406.704
7987,Arab World,ARB,1990,632472.87
7988,United Arab Emirates,ARE,1990,55210.4
7989,Argentina,ARG,1990,100313.9
7990,Armenia,ARM,1990,19845.2
7992,Antigua and Barbuda,ATG,1990,218.2
7993,Australia,AUS,1990,263437.5
7994,Austria,AUT,1990,58275.7
7995,Azerbaijan,AZE,1990,53483.7
7996,Burundi,BDI,1990,187.6
7997,Belgium,BEL,1990,109312.6
7998,Benin,BEN,1990,330.11
7999,Burkina Faso,BFA,1990,594.1
8000,Bangladesh,BGD,1990,11523.73
8001,Bulgaria,BGR,1990,73605.7
8002,Bahrain,BHR,1990,10737.46
8003,"Bahamas, The",BHS,1990,2014.6
8004,Bosnia and Herzegovina,BIH,1990,23965.6
8005,Belarus,BLR,1990,99830.0
8006,Belize,BLZ,1990,340.3
8008,Bolivia,BOL,1990,10407.9
8009,Brazil,BRA,1990,197897.4
8010,Barbados,BRB,1990,1004.32
8011,Brunei Darussalam,BRN,1990,3260.3
8012,Bhutan,BTN,1990,185.39
8013,Botswana,BWA,1990,2807.4
8014,Central African Republic,CAF,1990,148.0
8015,Canada,CAN,1990,419492.2
8016,Central Europe and the Baltics,CEB,1990,991246.4
8017,Switzerland,CHE,1990,43326.5
8019,Chile,CHL,1990,30533.6
8020,China,CHN,1990,2173364.2
8021,Cote d'Ivoire,CIV,1990,2705.4
8022,Cameroon,CMR,1990,2900.0
8023,"Congo, Dem. Rep.",COD,1990,3179.0
8024,"Congo, Rep.",COG,1990,3201.15
8025,Colombia,COL,1990,49364.4
8026,Comoros,COM,1990,65.5
8027,Cabo Verde,CPV,1990,183.8
8028,Costa Rica,CRI,1990,2871.2
8029,Caribbean small states,CSS,1990,27695.208097
8030,Cuba,CUB,1990,35621.6
8033,Cyprus,CYP,1990,4591.2
8034,Czechia,CZE,1990,153149.3
8035,Germany,DEU,1990,955307.7
8036,Djibouti,DJI,1990,274.1
8037,Dominica,DMA,1990,62.7
8038,Denmark,DNK,1990,51978.0
8039,Dominican Republic,DOM,1990,7860.7
8040,Algeria,DZA,1990,62936.9
8041,East Asia & Pacific (excluding high income),EAP,1990,2665961.556
8042,Early-demographic dividend,EAR,1990,2612523.044097
8043,East Asia & Pacific,EAS,1990,4322250.256
8044,Europe & Central Asia (excluding high income),ECA,1990,3838019.540257
8045,Europe & Central Asia,ECS,1990,7966959.675113
8046,Ecuador,ECU,1990,15422.6
8047,"Egypt, Arab Rep.",EGY,1990,87745.4
8048,Euro area,EMU,1990,2625211.1
8050,Spain,ESP,1990,214950.6
8051,Estonia,EST,1990,34544.9
8052,Ethiopia,ETH,1990,2310.7
8053,European Union,EUU,1990,3567900.9
8054,Fragile and conflict affected situations,FCS,1990,1048294.010181
8055,Finland,FIN,1990,54562.8
8056,Fiji,FJI,1990,712.98
8057,France,FRA,1990,356297.9
8060,Gabon,GAB,1990,4099.12
8061,United Kingdom,GBR,1990,561774.5
8062,Georgia,GEO,1990,33488.3
8063,Ghana,GHA,1990,2516.9
8065,Guinea,GIN,1990,999.1
8066,"Gambia, The",GMB,1990,194.5
8067,Guinea-Bissau,GNB,1990,171.9
8068,Equatorial Guinea,GNQ,1990,69.6
8069,Greece,GRC,1990,75619.4
8070,Grenada,GRD,1990,114.9
8072,Guatemala,GTM,1990,3932.0
8074,Guyana,GUY,1990,1171.9
8075,High income,HIC,1990,11431204.714856
8077,Honduras,HND,1990,2453.7
8078,Heavily indebted poor countries (HIPC),HPC,1990,59679.75
8079,Croatia,HRV,1990,20341.4
8080,Haiti,HTI,1990,1020.42
8081,Hungary,HUN,1990,67421.0
8082,IBRD only,IBD,1990,8932851.548354
8083,IDA & IBRD total,IBT,1990,9355846.65953501
8084,IDA total,IDA,1990,422995.111181
8085,IDA blend,IDB,1990,281986.53
8086,Indonesia,IDN,1990,148342.9
8087,IDA only,IDX,1990,141008.581181
8089,India,IND,1990,563575.4
8091,Ireland,IRL,1990,30961.5
8092,"Iran, Islamic Rep.",IRN,1990,198471.7
8093,Iraq,IRQ,1990,64206.4
8094,Iceland,ISL,1990,1947.46
8095,Israel,ISR,1990,33805.9
8096,Italy,ITA,1990,405262.0
8097,Jamaica,JAM,1990,7466.8
8098,Jordan,JOR,1990,9934.0
8099,Japan,JPN,1990,1090508.1
8100,Kazakhstan,KAZ,1990,237250.9
8101,Kenya,KEN,1990,6269.0
8102,Kyrgyz Republic,KGZ,1990,22762.3
8103,Cambodia,KHM,1990,1260.416
8104,Kiribati,KIR,1990,24.0
8105,St. Kitts and Nevis,KNA,1990,113.7
8106,"Korea, Rep.",KOR,1990,247675.8
8107,Kuwait,KWT,1990,29128.4
8108,Latin America & Caribbean (excluding high income),LAC,1990,734026.008097
8109,Lao PDR,LAO,1990,512.96
8110,Lebanon,LBN,1990,5622.1
8111,Liberia,LBR,1990,453.82
8112,Libya,LBY,1990,28603.5
8113,St. Lucia,LCA,1990,192.8
8114,Latin America & Caribbean,LCN,1990,890406.328097
8115,Least developed countries: UN classification,LDC,1990,66386.481181
8116,Low income,LIC,1990,180897.955181
8117,Liechtenstein,LIE,1990,198.970856
8118,Sri Lanka,LKA,1990,3839.2
8119,Lower middle income,LMC,1990,2103131.876
8120,Low & middle income,LMY,1990,8813945.259535
8121,Lesotho,LSO,1990,1395.5
8122,Late-demographic dividend,LTE,1990,6243759.680257
8123,Lithuania,LTU,1990,32217.9
8124,Luxembourg,LUX,1990,11285.0
8125,Latvia,LVA,1990,18777.4
8128,Morocco,MAR,1990,21497.8
8130,Moldova,MDA,1990,30532.1
8131,Madagascar,MDG,1990,891.13
8132,Maldives,MDV,1990,156.7
8133,Middle East & North Africa,MEA,1990,860056.96
8134,Mexico,MEX,1990,269575.4
8136,Middle income,MIC,1990,8633047.304354
8137,North Macedonia,MKD,1990,8591.3
8138,Mali,MLI,1990,436.011
8139,Malta,MLT,1990,2314.6
8140,Myanmar,MMR,1990,4083.0
8141,Middle East & North Africa (excluding high income),MNA,1990,532994.2
8142,Montenegro,MNE,1990,1915.340257
8143,Mongolia,MNG,1990,12968.1
8145,Mozambique,MOZ,1990,1117.23
8146,Mauritania,MRT,1990,841.8
8147,Mauritius,MUS,1990,1164.1
8148,Malawi,MWI,1990,722.47
8149,Malaysia,MYS,1990,54615.0
8150,North America,NAC,1990,5264009.6
8153,Niger,NER,1990,565.434
8154,Nigeria,NGA,1990,72768.8
8155,Nicaragua,NIC,1990,1933.9
8156,Netherlands,NLD,1990,151520.7
8157,Norway,NOR,1990,29305.4
8158,Nepal,NPL,1990,938.8
