,Country Name,Year,Country Code,solar_twh,wind_twh,hydro_twh,nuclear_twh,biogeo_twh,electbyfuel_gas,electbyfuel_coal,electbyfuel_oil,electbyfuel_other,elect_twh
141,Argentina,1990,ARG,0.0,0.0,17.71317528,7.281,0.133021814,19.84969691,0.66,4.944,0.424,51.004894
142,Argentina,1991,ARG,0.0,0.0,15.8692536,7.756,0.131008101,20.96700829,0.926,7.619,0.586,53.85427
143,Argentina,1992,ARG,0.0,0.0,19.16509093,7.081,0.129985929,20.79502014,0.834,7.661,0.441,56.107097
144,Argentina,1993,ARG,0.0,0.0,23.76830726,7.75,0.095995087,21.99447666,1.18,6.693,0.387,61.868779
145,Argentina,1994,ARG,0.0,0.0,27.2866766,8.235,0.099004399,22.719354,2.348,4.557,0.377,65.622035
146,Argentina,1995,ARG,0.0,0.0,26.5036816,7.066,0.119016124,26.50055627,1.908,4.585,0.487,67.169254
147,Argentina,1996,ARG,0.0,0.009618,22.47168595,7.459,0.223020649,32.5454954,1.917,4.624,0.51,69.75982
148,Argentina,1997,ARG,0.0,0.014592,27.92466528,7.961,0.178758514,32.18845421,1.896,2.042,0.257,72.46247
149,Argentina,1998,ARG,1.7e-05,0.032541,26.47550426,7.453,0.206893257,34.26260049,1.808,3.81,0.121,74.169556
150,Argentina,1999,ARG,2.6e-05,0.034781,21.3967906,7.106,0.261999974,45.73213742,2.106,3.831,0.276,80.744735
151,Argentina,2000,ARG,3.6e-05,0.034758,28.5752416,6.177,0.386028296,48.8798971,1.781,2.883,0.261,88.977961
152,Argentina,2001,ARG,4.3e-05,0.049361,36.58017326,7.059,0.362998251,43.25819528,1.362,1.004,0.462,90.13777079
153,Argentina,2002,ARG,4.7e-05,0.073405,35.77883626,5.821,0.529980202,40.70573991,0.811,0.759,0.111,84.59000837
154,Argentina,2003,ARG,6.5e-05,0.077954,33.80057658,7.566,0.88059854,47.7472489,0.937,1.011,0.039,92.05944302
155,Argentina,2004,ARG,7e-05,0.072446,30.462403,7.869,0.867512348,55.20938965,1.678,4.039,0.063,100.260821
156,Argentina,2005,ARG,8.1e-05,0.071719665,34.216136,6.873,0.916499799,55.69967854,2.18,5.746,0.047,105.750115
157,Argentina,2006,ARG,9e-05,0.06964,38.015213,7.721,1.046309012,56.39931299,1.994,8.036,0.142,113.423565
158,Argentina,2007,ARG,0.0001089,0.061593,31.22015,7.254,1.070851466,60.17533855,2.341,10.97,0.432,113.5250419
159,Argentina,2008,ARG,0.0001437,0.041951078,31.19969619,7.394,1.205980051,65.41147726,1.937,14.37,0.345,121.9052483
160,Argentina,2009,ARG,7.6084e-05,0.036831529,34.61818634,8.183,1.188935764,61.7019852,1.755,14.276,0.566,122.3260149
161,Argentina,2010,ARG,8.589e-05,0.025351606,33.35990814,7.21,1.377363153,63.8053445,3.013,16.663,0.538,125.9920533
162,Argentina,2011,ARG,0.001614,0.02659055,31.18692983,6.4,1.389516751,67.86065702,2.911,18.992,0.715,129.4833082
163,Argentina,2012,ARG,0.008172967,0.369861999,29.16439925,6.402,1.45310353,76.22908723,2.644,19.212,0.551,136.033625
164,Argentina,2013,ARG,0.015074079,0.453354876,32.77137878,6.207,1.526908493,74.70170677,2.378,20.827,0.561,139.441423
165,Argentina,2014,ARG,0.015944,0.619491,32.41669653,5.514,1.48282603,76.16418894,2.544,19.075,0.719,138.5511465
166,Argentina,2015,ARG,0.014683,0.593334963,32.33746954,7.039,1.487371166,79.10969718,2.387,21.956,0.497,145.4215559
167,Argentina,2016,ARG,0.014273,0.547359,29.752789,8.285,1.177019989,84.28144836,1.930306849,20.72262466,0.482,147.1928209
168,Argentina,2017,ARG,0.016417,0.611567,31.59428365,6.088,1.461698359,91.208979,2.01297,12.046539,0.578,145.618454
169,Argentina,2018,ARG,0.10813,1.412743,32.27866824,6.872,1.417223535,95.34578172,2.030864,7.02601,0.282454987,146.7738755
170,Argentina,2019,ARG,0.799697913,4.995966424,27.50450353,8.442,1.475651334,91.31101426,1.167132,3.424665,0.409291992,139.5299225
171,Argentina,2020,ARG,1.344358,9.410639,23.66970137,10.011,2.199526757,88.71688234,1.641441173,7.061627897,0.5876108,144.6427873
172,Argentina,2021,ARG,2.202619,12.93755,19.64800485,10.16981572,2.253668023,89.931317,2.378987841,13.09351706,0.536438192,153.1519177
173,Argentina,2022,ARG,2.937701689,14.16445769,23.88950696,7.46924322,2.340937945,80.41772545,2.135277675,16.66462594,0.809909465,150.829386
199,Australia,1990,AUS,0.0,0.0,14.7595,0.0,0.7595,12.5655,123.363,3.474,0.732,155.6535
200,Australia,1991,AUS,0.00545,0.0,15.6535,0.0,0.7195,11.2025,127.22155,2.879,0.282,157.9635
201,Australia,1992,AUS,0.0121,0.0,15.9415,0.0,0.67,11.964,130.0024,2.3915,0.419,161.4005
202,Australia,1993,AUS,0.0146,0.002,16.387,0.0,0.67,12.247,133.2774,2.3705,0.414,165.3825
203,Australia,1994,AUS,0.0174,0.0055,16.15,0.0,0.6965,13.556,136.8941,2.529,0.294,170.1425
204,Australia,1995,AUS,0.02115,0.007,15.631,0.0,0.8255,13.679,141.93535,2.7715,0.354,175.2245
205,Australia,1996,AUS,0.0256,0.007,15.9685,0.0,0.9465,11.9355,148.4309,2.49,0.323,180.127
206,Australia,1997,AUS,0.03065,0.0075,15.9525,0.0,0.997,12.18,157.47385,1.998,0.34,188.9795
