,Country Name,Year,Country Code,solar_twh,wind_twh,hydro_twh,nuclear_twh,biogeo_twh,electbyfuel_gas,electbyfuel_coal,electbyfuel_oil,electbyfuel_other,elect_twh,CO2 Emissions (kt),GDP (current US$),Population
0,Argentina,1990,ARG,0.0,0.0,17.71317528,7.281,0.133021814,19.84969691,0.66,4.944,0.424,51.004894,100313.9,141352630146.731,32637657.0
1,Argentina,1991,ARG,0.0,0.0,15.8692536,7.756,0.131008101,20.96700829,0.926,7.619,0.586,53.85427,105906.6,189719984268.485,33105763.0
2,Argentina,1992,ARG,0.0,0.0,19.16509093,7.081,0.129985929,20.79502014,0.834,7.661,0.441,56.107097,107921.1,228778994288.214,33568285.0
3,Argentina,1993,ARG,0.0,0.0,23.76830726,7.75,0.095995087,21.99447666,1.18,6.693,0.387,61.868779,110256.5,236741715015.015,34027240.0
4,Argentina,1994,ARG,0.0,0.0,27.2866766,8.235,0.099004399,22.719354,2.348,4.557,0.377,65.622035,111909.9,257440000000.0,34488696.0
5,Argentina,1995,ARG,0.0,0.0,26.5036816,7.066,0.119016124,26.50055627,1.908,4.585,0.487,67.169254,112886.7,258031750000.0,34946110.0
6,Argentina,1996,ARG,0.0,0.009618,22.47168595,7.459,0.223020649,32.5454954,1.917,4.624,0.51,69.75982,122545.9,272149750000.0,35389362.0
7,Argentina,1997,ARG,0.0,0.014592,27.92466528,7.961,0.178758514,32.18845421,1.896,2.042,0.257,72.46247,126118.7,292859000000.0,35815971.0
8,Argentina,1998,ARG,1.7e-05,0.032541,26.47550426,7.453,0.206893257,34.26260049,1.808,3.81,0.121,74.169556,132669.9,298948250000.0,36233195.0
9,Argentina,1999,ARG,2.6e-05,0.034781,21.3967906,7.106,0.261999974,45.73213742,2.106,3.831,0.276,80.744735,134502.0,283523000000.0,36653031.0
10,Argentina,2000,ARG,3.6e-05,0.034758,28.5752416,6.177,0.386028296,48.8798971,1.781,2.883,0.261,88.977961,132265.5,284203750000.0,37070774.0
11,Argentina,2001,ARG,4.3e-05,0.049361,36.58017326,7.059,0.362998251,43.25819528,1.362,1.004,0.462,90.13777079,125255.2,268696750000.0,37480493.0
12,Argentina,2002,ARG,4.7e-05,0.073405,35.77883626,5.821,0.529980202,40.70573991,0.811,0.759,0.111,84.59000837,117462.1,97724004251.8602,37885028.0
13,Argentina,2003,ARG,6.5e-05,0.077954,33.80057658,7.566,0.88059854,47.7472489,0.937,1.011,0.039,92.05944302,127653.5,127586973492.177,38278164.0
14,Argentina,2004,ARG,7e-05,0.072446,30.462403,7.869,0.867512348,55.20938965,1.678,4.039,0.063,100.260821,141376.4,164657930452.787,38668796.0
15,Argentina,2005,ARG,8.1e-05,0.071719665,34.216136,6.873,0.916499799,55.69967854,2.18,5.746,0.047,105.750115,145995.4,198737095012.282,39070501.0
16,Argentina,2006,ARG,9e-05,0.06964,38.015213,7.721,1.046309012,56.39931299,1.994,8.036,0.142,113.423565,154917.5,232557260817.308,39476851.0
17,Argentina,2007,ARG,0.0001089,0.061593,31.22015,7.254,1.070851466,60.17533855,2.341,10.97,0.432,113.5250419,162820.2,287530508430.568,39876111.0
18,Argentina,2008,ARG,0.0001437,0.041951078,31.19969619,7.394,1.205980051,65.41147726,1.937,14.37,0.345,121.9052483,167231.8,361558037110.419,40273769.0
19,Argentina,2009,ARG,7.6084e-05,0.036831529,34.61818634,8.183,1.188935764,61.7019852,1.755,14.276,0.566,122.3260149,156567.5,332976484577.619,40684338.0
20,Argentina,2010,ARG,8.589e-05,0.025351606,33.35990814,7.21,1.377363153,63.8053445,3.013,16.663,0.538,125.9920533,167226.3,423627422092.49,40788453.0
21,Argentina,2011,ARG,0.001614,0.02659055,31.18692983,6.4,1.389516751,67.86065702,2.911,18.992,0.715,129.4833082,176641.6,530158176673.789,41261490.0
22,Argentina,2012,ARG,0.008172967,0.369861999,29.16439925,6.402,1.45310353,76.22908723,2.644,19.212,0.551,136.033625,177955.3,545982375701.128,41733271.0
23,Argentina,2013,ARG,0.015074079,0.453354876,32.77137878,6.207,1.526908493,74.70170677,2.378,20.827,0.561,139.441423,183255.7,552025140252.246,42202935.0
24,Argentina,2014,ARG,0.015944,0.619491,32.41669653,5.514,1.48282603,76.16418894,2.544,19.075,0.719,138.5511465,179600.7,526319673731.638,42669500.0
25,Argentina,2015,ARG,0.014683,0.593334963,32.33746954,7.039,1.487371166,79.10969718,2.387,21.956,0.497,145.4215559,185550.0,594749285413.212,43131966.0
26,Argentina,2016,ARG,0.014273,0.547359,29.752789,8.285,1.177019989,84.28144836,1.930306849,20.72262466,0.482,147.1928209,183158.7,557532317363.451,43590368.0
27,Argentina,2017,ARG,0.016417,0.611567,31.59428365,6.088,1.461698359,91.208979,2.01297,12.046539,0.578,145.618454,179267.3,643628396190.388,44044811.0
28,Argentina,2018,ARG,0.10813,1.412743,32.27866824,6.872,1.417223535,95.34578172,2.030864,7.02601,0.282454987,146.7738755,176894.6,524819898586.906,44494502.0
29,Argentina,2019,ARG,0.799697913,4.995966424,27.50450353,8.442,1.475651334,91.31101426,1.167132,3.424665,0.409291992,139.5299225,168162.0,447754686715.081,44938712.0
30,Argentina,2020,ARG,1.344358,9.410639,23.66970137,10.011,2.199526757,88.71688234,1.641441173,7.061627897,0.5876108,144.6427873,154535.9,385540406815.599,45376763.0
31,Australia,1990,AUS,0.0,0.0,14.7595,0.0,0.7595,12.5655,123.363,3.474,0.732,155.6535,263437.5,311430632641.087,17065128.0
32,Australia,1991,AUS,0.00545,0.0,15.6535,0.0,0.7195,11.2025,127.22155,2.879,0.282,157.9635,264709.7,325981640935.417,17284036.0
33,Australia,1992,AUS,0.0121,0.0,15.9415,0.0,0.67,11.964,130.0024,2.3915,0.419,161.4005,268366.5,325532426233.227,17478635.0
34,Australia,1993,AUS,0.0146,0.002,16.387,0.0,0.67,12.247,133.2774,2.3705,0.414,165.3825,273016.9,312138139404.16,17634808.0
35,Australia,1994,AUS,0.0174,0.0055,16.15,0.0,0.6965,13.556,136.8941,2.529,0.294,170.1425,280096.3,322809408509.166,17805468.0
36,Australia,1995,AUS,0.02115,0.007,15.631,0.0,0.8255,13.679,141.93535,2.7715,0.354,175.2245,290141.5,368140778140.778,18004882.0
37,Australia,1996,AUS,0.0256,0.007,15.9685,0.0,0.9465,11.9355,148.4309,2.49,0.323,180.127,300180.4,401310823652.743,18224767.0
38,Australia,1997,AUS,0.03065,0.0075,15.9525,0.0,0.997,12.18,157.47385,1.998,0.34,188.9795,307778.5,435613768959.97,18423037.0
39,Australia,1998,AUS,0.0356,0.018,15.798,0.0,1.081,14.4675,165.9459,1.775,0.35,199.471,327536.9,399660855999.457,18607584.0
40,Australia,1999,AUS,0.0406,0.043,16.2815,0.0,1.1335,16.123,171.1614,1.7565,0.36,206.8995,333677.7,389389647825.542,18812264.0
41,Australia,2000,AUS,0.04675,0.134,16.4665,0.0,0.8895,16.758,180.26025,1.914,0.36,216.829,339422.8,415844972940.496,19028802.0
42,Australia,2001,AUS,0.05415,0.287,16.1235,0.0,0.7975,24.5005,179.87735,2.245,0.37,224.255,345609.4,379357823192.53,19274701.0
43,Australia,2002,AUS,0.0583,0.53355,16.095,0.0,1.2668,30.55265,171.8623,2.0535,1.0731,223.4952,353315.8,395573025330.447,19495210.0
44,Australia,2003,AUS,0.0632,0.70405,16.21055,0.0,1.6918,30.14735,173.606,1.52485,2.0046,225.9524,352893.5,467497961560.862,19720737.0
45,Australia,2004,AUS,0.07295,0.795,15.68665,0.0,2.81525,27.36115,178.9607,2.11485,1.4105,229.21705,366141.6,614326362213.686,19932722.0
46,Australia,2005,AUS,0.08405,1.29905,15.4657,0.0,3.871,23.2644,182.97535,2.9495,0.8305,230.73955,368801.9,695305000206.729,20176844.0
47,Australia,2006,AUS,0.0975,2.1621,14.9451,0.0,3.9325,27.2879,185.76435,2.9755,0.826,237.99095,374104.4,747907432136.598,20450966.0
48,Australia,2007,AUS,0.11375,2.8521,13.04895,0.0,4.275,33.40285,185.48615,3.4755,0.5305,243.1848,384368.3,854427259166.209,20827622.0
49,Australia,2008,AUS,0.1392,3.45845,11.81515,0.0,3.6961,36.3081,184.23995,3.723,1.99095,245.3709,387570.3,1055686110665.53,21249199.0
50,Australia,2010,AUS,0.97764828,4.985,13.746,0.0,2.44155,46.7908,176.01985,3.1003,2.90055172,250.9617,395993.2,1148569537284.62,22031750.0
51,Australia,2011,AUS,2.04454657,6.432,19.572,0.0,2.57395,48.7839,171.9845,2.89815,2.01510343,256.30415,394436.7,1398456161407.85,22340024.0
52,Australia,2012,AUS,2.412,7.725,17.036,0.0,3.09785,49.8125,165.38415,3.5834,1.6207,250.6716,395690.0,1546952690139.99,22733465.0
53,Australia,2013,AUS,3.8474,9.259,19.089,0.0,3.33165,52.72365,155.4474,4.73835,1.12665,249.5631,388427.4,1576329690003.93,23128129.0
54,Australia,2014,AUS,4.952,9.777,14.484,0.0,3.546362,53.655407,155.22915,5.920425,0.083,247.647344,379267.2,1467589901175.46,23475686.0
55,Australia,2015,AUS,6.195524404,11.83300209,14.08656847,0.0,3.678061995,49.70556033,162.2025053,6.162169514,0.12103,253.9844221,385782.4,1350580336316.75,23815995.0
56,Australia,2016,AUS,7.439775697,13.03970488,17.6294221,0.0,3.627512928,48.11049892,162.3565069,5.718234748,0.29703,258.2186862,394803.6,1206562910556.58,24190907.0
57,Australia,2017,AUS,8.91755657,13.21079043,13.49971762,0.0,3.561683859,55.08777152,159.1686731,5.272836311,0.24803,258.9670594,397149.4,1326467487376.42,24594202.0
58,Australia,2018,AUS,12.33254445,16.26195432,17.31133109,0.0,3.58814896,51.46472199,156.5555448,4.901193668,0.21703,262.6324693,396059.9,1428266513154.48,24966643.0
59,Australia,2019,AUS,18.2969867,19.47168808,14.02077581,0.0,3.467726188,55.71058499,149.8406112,4.727208426,0.36503,265.9006114,395199.1,1392218527563.26,25340217.0
60,Australia,2020,AUS,23.84266127,22.6068918,14.42092641,0.0,3.410424136,53.12430429,142.9349481,4.506366802,0.385655,265.2321778,378996.8,1326944627876.87,25655289.0
61,Brazil,1990,BRA,0.0,0.0,206.708,2.237,3.8590625,0.325612,4.62054105,5.06989968,0.0,222.8201152,197897.4,464989098144.854,150706446.0
62,Brazil,1991,BRA,0.0,0.0,217.782,1.442,3.999612563,0.373,5.533759475,5.245925138,0.0,234.3762972,205475.4,407729053018.907,153336445.0
63,Brazil,1992,BRA,0.0,0.0,223.343,1.759,4.929360738,0.39,5.007477575,6.333113625,0.0,241.7619519,207865.4,390566561752.671,155900790.0
64,Brazil,1993,BRA,0.0,0.0,235.065,0.442,4.983937033,0.388,4.908581073,6.215603472,0.0,252.0031216,215259.5,438299504463.02,158440875.0
65,Brazil,1994,BRA,0.0,0.0,242.7051,0.055,5.388223649,0.479167432,4.970669238,6.442450049,0.0,260.0406104,222497.5,546229749726.263,160980472.0
66,Brazil,1995,BRA,0.0,0.0,253.9051,2.519,5.593740489,0.559693704,5.442427,7.581481502,0.0,275.6014427,241283.8,769333330439.52,163515328.0
67,Brazil,1996,BRA,0.0,0.002,265.7358,2.427,6.752709628,0.974146837,6.02573889,9.328144558,0.0,291.2455399,262414.1,850426432991.742,166037122.0
68,Brazil,1997,BRA,0.0,0.004,278.9725064,3.169,7.378950998,1.177,7.31027249,9.969052958,0.0,307.9807828,281335.0,883206452832.811,168546707.0
69,Brazil,1998,BRA,0.0,0.005,291.46918,3.265,7.505233012,1.321,6.9736292,11.20959613,0.0,321.7486383,290587.2,863711007338.683,171039804.0
70,Brazil,1999,BRA,0.0,0.002,293.0000306,3.977,8.376002281,2.652865089,9.714973369,16.636875,0.36648735,334.7262337,300958.7,599642075039.049,173486281.0
71,Brazil,2000,BRA,0.0,0.001,304.403276,6.046,7.855363,4.067859799,10.9302,15.24524,0.372,348.9209388,313670.8,655448188246.11,175873720.0
72,Brazil,2001,BRA,0.0,0.0349,267.876,14.279,9.022407,9.921246056,11.078,15.90381267,0.4361,328.5514657,319375.7,559983704075.658,178211881.0
73,Brazil,2002,BRA,0.0,0.061,286.0922,13.836,10.27014696,12.40578491,9.1232,13.52009285,0.4142,345.7226247,317756.5,509795270707.268,180476685.0
74,Brazil,2003,BRA,0.0,0.061,305.616,13.358,11.939463,13.11,9.013,10.835175,0.452,364.384638,310808.1,558233724160.742,182629278.0
75,Brazil,2004,BRA,0.0,0.061,320.7969068,11.611,12.5150557,19.26391022,10.3710334,12.33908335,0.5344262,387.4924157,328517.3,669289321953.683,184722043.0
76,Brazil,2005,BRA,0.0,0.0929,337.456773,9.855,13.64307717,18.81127386,10.68176435,11.73739075,0.804603902,403.082783,331689.1,891633826582.606,186797334.0
77,Brazil,2006,BRA,0.0,0.237,348.80546,13.7541,14.84565898,18.258215,10.465851,12.39689823,0.685964,419.4491472,335624.6,1107626711436.44,188820682.0
78,Brazil,2007,BRA,0.0,0.662781836,374.0151216,12.34976,18.06344408,15.49659395,10.07810913,13.29788016,1.18523492,445.1489257,352555.8,1397114247287.58,190779453.0
79,Brazil,2008,BRA,0.0,1.183,369.5564,13.96858,19.7862573,28.77826547,11.95845382,17.46072313,0.479897472,463.1715772,373633.1,1695855391816.48,192672317.0
