,Country Name,Country Code,Year,GDP (current US$)
7980,Aruba,ABW,1990,764804469.273743
7981,Africa Eastern and Southern,AFE,1990,254062093241.871
7983,Africa Western and Central,AFW,1990,122387353859.461
7984,Angola,AGO,1990,11229515599.3048
7985,Albania,ALB,1990,2028553750.0
7986,Andorra,AND,1990,1028989393.70295
7987,Arab World,ARB,1990,644062569659.784
7988,United Arab Emirates,ARE,1990,50701443748.2975
7989,Argentina,ARG,1990,141352630146.731
7990,Armenia,ARM,1990,2256838857.60997
7992,Antigua and Barbuda,ATG,1990,459470370.37037
7993,Australia,AUS,1990,311430632641.087
7994,Austria,AUT,1990,166463386179.354
7995,Azerbaijan,AZE,1990,8858006042.29607
7996,Burundi,BDI,1990,1132101252.51817
7997,Belgium,BEL,1990,205331747947.851
7998,Benin,BEN,1990,1959965330.47596
7999,Burkina Faso,BFA,1990,3101300779.08364
8000,Bangladesh,BGD,1990,31598341233.463
8001,Bulgaria,BGR,1990,20632090909.0909
8002,Bahrain,BHR,1990,4229787234.04255
8003,"Bahamas, The",BHS,1990,3166000000.0
8005,Belarus,BLR,1990,21650000000.0
8006,Belize,BLZ,1990,549500000.0
8007,Bermuda,BMU,1990,1592400000.0
8008,Bolivia,BOL,1990,4867582597.52327
8009,Brazil,BRA,1990,464989098144.854
8010,Barbados,BRB,1990,2012131457.26644
8011,Brunei Darussalam,BRN,1990,3520486979.54981
8012,Bhutan,BTN,1990,287765007.10715
8013,Botswana,BWA,1990,3790636664.02546
8014,Central African Republic,CAF,1990,1440711459.411
8015,Canada,CAN,1990,596089064840.248
8016,Central Europe and the Baltics,CEB,1990,255337810802.762
8017,Switzerland,CHE,1990,265771545360.201
8019,Chile,CHL,1990,33113525803.8067
8020,China,CHN,1990,360857912565.966
8021,Cote d'Ivoire,CIV,1990,10795850584.5874
8022,Cameroon,CMR,1990,12314482629.9082
8023,"Congo, Dem. Rep.",COD,1990,9349764580.41173
8024,"Congo, Rep.",COG,1990,2798746050.58236
8025,Colombia,COL,1990,47844090709.9908
8026,Comoros,COM,1990,429622178.042984
8027,Cabo Verde,CPV,1990,306890961.188801
8028,Costa Rica,CRI,1990,5711687786.75989
8029,Caribbean small states,CSS,1990,18149076125.7684
8030,Cuba,CUB,1990,28645436569.1489
8033,Cyprus,CYP,1990,5591130217.66965
8034,Czechia,CZE,1990,40728950704.6176
8035,Germany,DEU,1990,1771671206875.68
